metric,value
Hazard: min,0.02544
Hazard: median,0.03734
Hazard: mean,0.03704
Hazard: max,0.04341
Richness: min,5
Richness: median,16
Richness: mean,17.07
Richness: max,77
N non-NA cells (hazard),299271
