region,mean_risk,median_risk,n_species
Atlantic Forest,0.021118279814976264,0.02201664559750931,118
North America,0.020032171990246896,0.020305912161565246,159
West Africa,0.015293592815657543,0.015628119827513637,48
Rest of World,0.015632020106152368,0.015466220059929323,291
Western Europe,0.013496446961736646,0.015062323031427178,3
East Asia,0.014253141206908758,0.014706017770214344,71
