bi_class,n_districts,mean_host_prob,mean_richness
1-1,3980,0.0343,12.91
1-2,3958,0.0373,12.32
1-3,4851,0.0392,11.87
2-1,3830,0.0351,19.36
2-2,4900,0.0374,19.67
2-3,4580,0.0387,19.84
3-1,4979,0.0348,29.37
3-2,3931,0.0372,26.96
3-3,3358,0.0387,26.37
