model,n_obs,n_species,pc1_mean,pc1_lower,pc1_upper,pc1_pd,effort_mean,sd_host,sd_phylo,sd_virus
Global (S2),43677,633,-0.1247,-0.2888,0.0375,93.23,0.5849,0.4177,0.0976,1.4884
Synanthropy subset (S3),18906,274,-0.1473,-0.3316,0.0254,95.04,0.4503,0.293,0.097,1.8537
Strict / active infection (S4),43677,633,-0.1672,-0.3996,0.0656,91.84,0.6001,0.6096,0.1319,1.2505
Complete case (S5),14697,213,-0.1484,-0.3741,0.0642,91.17,0.6171,0.3579,0.0912,1.9311
