region,mean_risk,median_risk,n_species
East Asia,0.04249873635332945,0.043393394021561935,65
Western Europe,0.035033293072329594,0.03847629091747182,3
Atlantic Forest,0.03470049398347045,0.03500121894020091,93
Rest of World,0.0364997043828856,0.03456841306210681,257
North America,0.03301254065313303,0.03315723735914441,153
West Africa,0.03231011235617942,0.03300629147394614,48
