GID_2,n_hosts,predicted,log_residual,type,COUNTRY,NAME_1,NAME_2,realm
CHL.5.2_1,0,526.9420785947219,-2.7225862779759686,Coldspot (Undersampled),Chile,Atacama,Copiapó,Neotropic
CHL.15.1_1,0,791.600196742839,-2.899054175800743,Coldspot (Undersampled),Chile,Tarapacá,NA,Neotropic
CHN.1.6_1,0,566.0844055751095,-2.7536477046554255,Coldspot (Undersampled),China,Anhui,Chuzhou,Palearctic-East
CHN.1.7_1,0,653.7114940712398,-2.8160499654338276,Coldspot (Undersampled),China,Anhui,Fuyang,Palearctic-East
CHN.1.8_1,1,1170.0889297912595,-2.7675598799815346,Coldspot (Undersampled),China,Anhui,Hefei,Palearctic-East
CHN.4.1_1,0,856.8102800342236,-2.9333912465374508,Coldspot (Undersampled),China,Fujian,Fuzhou,Indomalayan
CHN.4.9_1,0,546.9372306865243,-2.738730810440883,Coldspot (Undersampled),China,Fujian,Zhangzhou,Indomalayan
CHN.5.6_1,0,697.066387333354,-2.843896726751428,Coldspot (Undersampled),China,Gansu,Jiuquan,Palearctic-East
CHN.6.3_1,0,912.4632578523074,-2.9606910834532982,Coldspot (Undersampled),China,Guangdong,Foshan,Indomalayan
CHN.6.6_1,0,856.7633705401211,-2.9333674964239704,Coldspot (Undersampled),China,Guangdong,Huizhou,Indomalayan
CHN.6.7_1,0,520.2580505570947,-2.7170527754840164,Coldspot (Undersampled),China,Guangdong,Jiangmen,Indomalayan
CHN.6.12_1,0,527.1742644056798,-2.722777236138425,Coldspot (Undersampled),China,Guangdong,Shantou,Indomalayan
CHN.6.18_1,0,805.8486626252401,-2.9067920834825847,Coldspot (Undersampled),China,Guangdong,Zhanjiang,Indomalayan
CHN.6.20_1,0,572.4411161565846,-2.758488828965791,Coldspot (Undersampled),China,Guangdong,Zhongshan,Indomalayan
CHN.10.11_1,0,571.3747793230391,-2.7576804890951685,Coldspot (Undersampled),China,Hebei,Zhangjiakou,Palearctic-East
CHN.12.8_1,0,564.635758825865,-2.752536857241906,Coldspot (Undersampled),China,Henan,Nanyang,Palearctic-East
CHN.12.12_1,0,776.4476345286456,-2.890671146507703,Coldspot (Undersampled),China,Henan,Shangqiu,Palearctic-East
CHN.12.13_1,0,494.9570728162926,-2.695444088091404,Coldspot (Undersampled),China,Henan,Xinxiang,Palearctic-East
CHN.12.16_1,0,840.3348307257284,-2.9249688688025244,Coldspot (Undersampled),China,Henan,Zhengzhou,Palearctic-East
CHN.12.17_1,0,694.2588669016628,-2.8421465362947846,Coldspot (Undersampled),China,Henan,Zhoukou,Palearctic-East
CHN.12.18_1,0,502.85774159514693,-2.7023079357289905,Coldspot (Undersampled),China,Henan,Zhumadian,Palearctic-East
CHN.15.1_1,0,671.7842632106467,-2.827875824524831,Coldspot (Undersampled),China,Jiangsu,Changzhou,Palearctic-East
CHN.15.2_1,0,642.9870448804068,-2.8088771307238742,Coldspot (Undersampled),China,Jiangsu,Huai'an,Palearctic-East
CHN.15.3_1,0,637.6125867593737,-2.8052374740315984,Coldspot (Undersampled),China,Jiangsu,Lianyungang,Palearctic-East
CHN.15.4_1,0,1078.1516617304655,-3.0330824838155475,Coldspot (Undersampled),China,Jiangsu,Nanjing,Palearctic-East
CHN.15.5_1,0,1347.7406574296967,-3.1299284493938164,Coldspot (Undersampled),China,Jiangsu,Nantong,Palearctic-East
CHN.15.7_1,0,2049.2031625724126,-3.3117968991105537,Coldspot (Undersampled),China,Jiangsu,Suzhou,Palearctic-East
CHN.15.8_1,0,914.8036721425087,-2.9618023806068683,Coldspot (Undersampled),China,Jiangsu,Taizhou,Palearctic-East
CHN.15.9_1,0,1018.3276856070895,-3.0083138200945676,Coldspot (Undersampled),China,Jiangsu,Wuxi,Palearctic-East
CHN.15.10_1,0,787.429651044249,-2.89676294874129,Coldspot (Undersampled),China,Jiangsu,Xuzhou,Palearctic-East
CHN.15.11_1,0,905.549149464088,-2.957391354777255,Coldspot (Undersampled),China,Jiangsu,Yancheng,Palearctic-East
CHN.15.12_1,0,569.4026383691715,-2.7561815256560855,Coldspot (Undersampled),China,Jiangsu,Yangzhou,Palearctic-East
CHN.15.13_1,0,654.0921356241315,-2.81630238576144,Coldspot (Undersampled),China,Jiangsu,Zhenjiang,Palearctic-East
CHN.16.2_1,0,810.9576603738899,-2.909533383495614,Coldspot (Undersampled),China,Jiangxi,Ganzhou,Indomalayan
CHN.16.8_1,0,482.98875878798935,-2.6848352747579645,Coldspot (Undersampled),China,Jiangxi,Shangrao,Palearctic-East
CHN.17.3_1,0,766.4433539227948,-2.885046329443492,Coldspot (Undersampled),China,Jilin,Changchun,Palearctic-East
CHN.18.4_1,0,674.0487601956573,-2.829335143970415,Coldspot (Undersampled),China,Liaoning,Dalian,Palearctic-East
CHN.18.12_1,0,1194.865315390429,-3.077682269889439,Coldspot (Undersampled),China,Liaoning,Shenyang,Palearctic-East
CHN.19.4_1,0,894.1626601708981,-2.951901958216509,Coldspot (Undersampled),China,Nei Mongol,Chifeng,Palearctic-East
CHN.19.7_1,0,955.0815517504009,-2.9804949382642043,Coldspot (Undersampled),China,Nei Mongol,Ordos,Palearctic-East
CHN.19.8_1,0,558.0546235105827,-2.7474542435398313,Coldspot (Undersampled),China,Nei Mongol,Tongliao,Palearctic-East
CHN.21.1_1,0,526.0264335309543,-2.7218323982272183,Coldspot (Undersampled),China,Qinghai,Golog Tibetan,Palearctic-East
CHN.21.2_1,0,1111.3246299721343,-3.0462315538201796,Coldspot (Undersampled),China,Qinghai,Gyêgu Tibetan,Palearctic-East
CHN.21.6_1,0,1263.0631108132777,-3.101768757485708,Coldspot (Undersampled),China,Qinghai,Haixi Mongol and Tibetan,Palearctic-East
CHN.22.5_1,6443,38.13023190736421,2.2166431099699313,Hotspot (Oversampled),China,Shaanxi,Tongchuan,Palearctic-East
CHN.22.7_1,11558,372.54838168344577,1.4905734044691576,Hotspot (Oversampled),China,Shaanxi,Xi'an,Palearctic-East
CHN.22.10_1,0,736.9681596894151,-2.8680376241949967,Coldspot (Undersampled),China,Shaanxi,Yulin,Palearctic-East
CHN.23.4_1,0,550.0210593291929,-2.7411681973557513,Coldspot (Undersampled),China,Shandong,Heze,Palearctic-East
CHN.23.5_1,0,593.725058630061,-2.7743162378022594,Coldspot (Undersampled),China,Shandong,Jinan,Palearctic-East
CHN.23.8_1,0,590.5395254649026,-2.771983768605202,Coldspot (Undersampled),China,Shandong,Liaocheng,Palearctic-East
CHN.24.1_1,0,4166.224277692248,-3.619846874573677,Coldspot (Undersampled),China,Shanghai,Shanghai,Palearctic-East
CHN.26.2_1,0,529.264318478491,-2.7244924043969734,Coldspot (Undersampled),China,Sichuan,Chengdu,Palearctic-East
CHN.26.5_1,0,1020.3010144814659,-3.0091537633024834,Coldspot (Undersampled),China,Sichuan,Garzê Tibetan,Palearctic-East
CHN.26.16_1,0,563.7516908279284,-2.7518575398423164,Coldspot (Undersampled),China,Sichuan,Ngawa Tibetan and Qiang,Palearctic-East
CHN.27.1_1,0,2118.5883583609675,-3.3262515255273852,Coldspot (Undersampled),China,Tianjin,Tianjin,Palearctic-East
CHN.28.1_1,0,781.5604531470834,-2.893517896958526,Coldspot (Undersampled),China,Xinjiang Uygur,Aksu,Palearctic-East
CHN.28.2_1,0,587.4796745420999,-2.769731467372065,Coldspot (Undersampled),China,Xinjiang Uygur,Altay,Palearctic-East
CHN.28.6_1,0,574.5269979392082,-2.760065701173466,Coldspot (Undersampled),China,Xinjiang Uygur,Hami,Palearctic-East
CHN.28.9_1,0,638.7634337213889,-2.806019413949324,Coldspot (Undersampled),China,Xinjiang Uygur,Kashgar,Palearctic-East
CHN.28.10_1,0,984.7922564407594,-2.9937854023779904,Coldspot (Undersampled),China,Xinjiang Uygur,Khotan,Palearctic-East
CHN.29.1_1,0,878.6420284204929,-2.9443059713425135,Coldspot (Undersampled),China,Xizang,Chamdo,Palearctic-East
